"Why EPA's Plan to Address Cross-State Air Pollution is Good News for Tennessee",https://www.sierraclub.org/articles/2024/03/why-epa-s-plan-address-cross-state-air-pollution-good-news-tennessee&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIBRAC&usg=AOvVaw0xCfsePnDEiKF4hu1-6Nzc
"Cities Where It's Hardest To Breathe: Where Is Air Quality Worst In The U.S?",https://www.forbes.com/health/medical-supplies/cities-where-its-hardest-to-breathe-2023/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQICRAC&usg=AOvVaw27S2MaHm17QWbFR5RDWw77
"Solar energy is on the rise in Tennessee",https://environmentamerica.org/center/articles/solar-energy-is-on-the-rise-in-tennessee/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQICBAC&usg=AOvVaw20itjVlwS2P59gYmGGft2n
"Ennore ammonia gas leak: After residents left gasping for breath, TN pollution control board suspends unit operations",https://indianexpress.com/article/cities/chennai/ennore-ammonia-gas-leak-residents-tn-pollution-control-board-suspends-unit-operations-9085852/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIABAC&usg=AOvVaw1hP66oXE7uYlUnGMfejo5D
"'The Air We Breathe:' How the century-old Koppers coal tar plant became, and remains, the small town of Cicero's toxic ...",https://www.muckrock.com/news/archives/2023/dec/06/koppers-hazardous-industrial-polluters-cicero/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIAxAC&usg=AOvVaw0ZhxXGkr0da7U-5AkYYsIu
"Is COPD Always Related to Smoking?",https://www.wth.org/blog/is-copd-always-related-to-smoking/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIBhAC&usg=AOvVaw14sY-T8eQQr8flRhOAwWTD
"Tennessee wildfires, drought cause poor air quality",https://www.knoxnews.com/story/news/local/2023/11/09/why-is-it-so-smoky-in-knoxville-wildfires-cause-poor-air-quality/71515280007/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIBBAC&usg=AOvVaw2Q5zZj-RKoUpIwNW1ZP-K7
"Memphis Facility Emitting Cancer-Causing Ethylene Oxide Gas to Close",https://blog.ucsusa.org/dminovi/memphis-facility-emitting-cancer-causing-ethylene-oxide-gas-to-close/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIBxAC&usg=AOvVaw2hDsM4ye_1AhRJpAVHTXjZ
"Poor air quality in Knoxville along with extreme heat this week",https://www.knoxnews.com/story/weather/2023/08/22/poor-air-quality-in-knoxville-along-with-extreme-heat-this-week/70645860007/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIARAC&usg=AOvVaw2zLZkKpeKfoHJaKnynQ5rp
"Air Quality Alert issued in East Tennessee region for Tuesday",https://www.wjhl.com/news/local/air-quality-alert-issued-in-east-tennessee-region-for-tuesday/&ved=2ahUKEwjux5HoitiFAxXe48kDHXoJABwQxfQBegQIAhAC&usg=AOvVaw0biDATDp2nf5w05rBqAkVB
